CustomerID,TransactionID,TransactionDate,Amount,ProductCategory,PaymentMethod,InteractionID,InteractionDate,Platform,InteractionType,Sentiment,Age,Gender,Location,IncomeLevel,SignupDate,Age_zscore,InteractionYear,TransactionYear,Amount_zscore,SignUpYear
9223891b-73ff-4d5c-b8ae-13ece82ee28b,f79588dd-3db9-4ffa-97f8-7de0e64259f1,2022-09-23,563.99,Clothing,Debit Card,df9b66ed-008c-4484-9e9a-83ab83206287,2024-06-29,Twitter,Like,Neutral,46.0,Female,Sherriburgh,Low,2022-04-22,0.07164740888700802,2024.0,2022.0,0.24451119459893836,2022.0
9243eebc-938f-480c-8564-16d503d250de,401c0fc9-60df-4455-ad78-67c132f9897d,2024-04-15,254.44,Automotive,PayPal,dcbde36b-7cfb-4220-93da-86427662206f,2023-10-18,Instagram,Share,Neutral,40.0,Female,Gomezview,High,2021-08-05,-0.33716724929690056,2023.0,2024.0,-0.8845300722617642,2021.0
6e3e8eb8-bc0f-4ffe-9f74-5d5efec9502f,2034aebc-8280-4254-a667-92bcd1c2be4f,2024-06-03,590.52,Home & Garden,Bank Transfer,24017054-74d6-4579-abc2-0665046f6dc0,2024-05-13,Facebook,Share,Negative,41.0,Female,Nicoleview,Medium,2021-11-15,-0.2690314729329158,2024.0,2024.0,0.3412757392922493,2021.0
958e5c8d-48ca-42dd-bb71-a766a374233a,fb24e098-3ab9-40a2-bcc3-b8ebb23f549a,2023-03-10,399.7,Home & Garden,PayPal,e8add018-5702-4fa1-b755-5aad0514df8b,,Instagram,Comment,Positive,44.948461253244346,Male,Riveraton,Low,2020-12-28,0.0,2023.0,2023.0,-0.35471409931979797,2020.0
39c6e7d2-6c4b-44c0-8961-ddc1ecbdb0c6,833b026a-7c02-4101-832d-62c07569b0f6,2024-01-26,296.99,Clothing,PayPal,8ecb5e35-5841-4510-9e95-cc45caeafc79,2024-01-07,Instagram,Share,Neutral,70.0,Male,Andrewsmouth,Low,2023-02-28,1.7069060416226425,2024.0,2024.0,-0.7293347697099215,2023.0
c3a5e86e-a74b-420e-b1e7-13bcbe6b71ac,e101f309-f9f8-4856-aa30-0153aa5f368c,2022-11-06,989.99,Electronics,Debit Card,8c1da393-7ea5-4405-b8c5-49953f75079a,2023-07-01,Instagram,Share,Very Positive,42.0,Female,Ronaldton,High,2022-07-31,-0.20089569656893103,2023.0,2022.0,1.7982879016984676,2022.0
c3a5e86e-a74b-420e-b1e7-13bcbe6b71ac,e101f309-f9f8-4856-aa30-0153aa5f368c,2022-11-06,989.99,Electronics,Debit Card,9527bd17-1ba5-45e8-9e2b-18ef52ba2782,2023-12-24,Instagram,Share,Positive,42.0,Female,Ronaldton,High,2022-07-31,-0.20089569656893103,2023.0,2022.0,1.7982879016984676,2022.0
c3a5e86e-a74b-420e-b1e7-13bcbe6b71ac,e101f309-f9f8-4856-aa30-0153aa5f368c,2022-11-06,989.99,Electronics,Debit Card,0a2dd707-56ee-4998-9c04-8c15fc5d6159,2023-08-16,Facebook,Like,Positive,42.0,Female,Ronaldton,High,2022-07-31,-0.20089569656893103,2023.0,2022.0,1.7982879016984676,2022.0
28c29c18-0cbe-40ea-b218-a96430cc4409,deaec587-bd63-4556-8cea-e9d297f6651e,2023-11-08,140.88,Automotive,Credit Card,f392e206-9d01-4300-8cfb-60f9709269d5,2024-06-13,Instagram,Share,Negative,31.0,Female,South Kristen,High,2022-12-10,-0.9503892365727634,2024.0,2023.0,-1.2987246329618172,2022.0
28c29c18-0cbe-40ea-b218-a96430cc4409,deaec587-bd63-4556-8cea-e9d297f6651e,2023-11-08,140.88,Automotive,Credit Card,e8234fe2-3a3c-4a1c-acba-9603d5b0c128,2023-11-14,Instagram,Like,Positive,31.0,Female,South Kristen,High,2022-12-10,-0.9503892365727634,2023.0,2023.0,-1.2987246329618172,2022.0
68b5a27d-980f-409d-9b64-acc242c86f8e,3d5a459b-4b31-4fab-ab67-8d846e07471f,2022-07-24,775.43,Electronics,Credit Card,474a2b83-94b4-4f47-a870-284bfd6cdaa3,2024-03-06,Instagram,Share,Positive,48.0,Male,West Annstad,High,2023-12-23,0.20791896161497755,2024.0,2022.0,1.0157096616156622,2023.0
54b3556e-e480-41a2-9dcd-7da1d91655aa,c181a599-fcc7-4f9b-b618-783684e0fd24,2023-03-06,861.39,Clothing,Bank Transfer,f5b36d17-e31d-4bf6-8b31-d24119a6a75a,2024-03-28,Instagram,Comment,Positive,57.0,Male,East Betty,Medium,2024-06-08,0.8211409488908404,2024.0,2023.0,1.3292369990388444,2024.0
54b3556e-e480-41a2-9dcd-7da1d91655aa,c181a599-fcc7-4f9b-b618-783684e0fd24,2023-03-06,861.39,Clothing,Bank Transfer,f4d73390-28ff-4b7a-a4b5-4541216e52cd,2023-08-01,Facebook,Comment,Very Positive,57.0,Male,East Betty,Medium,2024-06-08,0.8211409488908404,2023.0,2023.0,1.3292369990388444,2024.0
decfbb11-2324-4a91-b4a4-da3011046f88,3dd5070c-5644-408f-bc17-15bf71f345a5,2024-04-17,130.53,Electronics,PayPal,1508cbeb-ec4f-4ea2-84d3-023e511395e7,2024-06-28,Facebook,Like,Positive,23.0,Male,Port Amyfurt,Low,2021-06-19,-1.4954754474846417,2024.0,2024.0,-1.3364748416906438,2021.0
decfbb11-2324-4a91-b4a4-da3011046f88,3dd5070c-5644-408f-bc17-15bf71f345a5,2024-04-17,130.53,Electronics,PayPal,f22f163c-e3bb-40d0-8c1d-b811b37978dd,2023-12-24,Instagram,Like,Negative,23.0,Male,Port Amyfurt,Low,2021-06-19,-1.4954754474846417,2023.0,2024.0,-1.3364748416906438,2021.0
